,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1960,0.459,0.89,-3.717,0.0561,0.00647,5.26e-05,0.122,0.268,124.017
1961,0.539,0.857,-4.48,0.0333,9.53e-05,0.0,0.347,0.577,109.057
1962,0.348,0.806,-3.963,0.0439,0.0156,0.0,0.301,0.398,86.076
1963,0.478,0.892,-4.376,0.0626,0.000987,0.0,0.379,0.522,123.954
1964,0.448,0.945,-3.812,0.0567,0.000112,0.0,0.113,0.198,124.094
1965,0.369,0.41,-9.272,0.0297,0.154,0.0,0.102,0.253,73.808
1966,0.402,0.915,-3.874,0.0879,0.000188,0.0,0.308,0.408,133.998
1967,0.494,0.829,-4.391,0.039,0.0197,0.0,0.114,0.392,126.81
1968,0.482,0.841,-5.856,0.0436,9.23e-06,0.00018,0.104,0.279,113.948
1969,0.353,0.432,-6.597,0.0326,0.0609,0.0,0.0912,0.163,109.841
1970,0.403,0.923,-4.257,0.0567,4.71e-05,2.67e-05,0.279,0.357,133.934
1971,0.268,0.811,-4.721,0.039,0.00707,0.00101,0.2,0.167,98.7
1972,0.442,0.348,-9.006,0.028,0.685,5.53e-06,0.102,0.315,145.677
1973,0.477,0.876,-4.267,0.0384,9.78e-05,0.0,0.146,0.201,137.031
1974,0.458,0.761,-4.41,0.034,0.00381,0.0,0.172,0.174,108.981
1975,0.403,0.32,-13.291,0.0322,0.577,0.00176,0.2,0.178,80.971
1976,0.472,0.292,-9.528,0.0314,0.482,1.94e-06,0.108,0.356,79.92
1977,0.459,0.89,-3.717,0.0561,0.00647,5.26e-05,0.122,0.268,124.017
1978,0.538,0.857,-4.48,0.0333,9.71e-05,0.0,0.347,0.578,109.052
1979,0.346,0.805,-3.963,0.0439,0.0158,0.0,0.301,0.397,86.103
1980,0.48,0.893,-4.376,0.0624,0.000999,0.0,0.379,0.527,123.947
1981,0.439,0.945,-3.814,0.0577,0.000114,0.0,0.113,0.195,124.072
1982,0.387,0.41,-9.271,0.0289,0.155,0.0,0.102,0.253,147.769
1983,0.405,0.915,-3.874,0.0855,0.00019,0.0,0.308,0.408,133.972
1984,0.494,0.829,-4.391,0.039,0.0194,0.0,0.113,0.392,126.889
1985,0.479,0.839,-5.863,0.0443,8.59e-06,0.000226,0.104,0.269,113.958
1986,0.383,0.431,-6.652,0.0328,0.0613,0.0,0.0911,0.168,110.097
1987,0.402,0.922,-4.259,0.057,5.05e-05,2.23e-05,0.239,0.373,133.951
1988,0.257,0.809,-4.717,0.0387,0.00703,0.00116,0.199,0.16,99.847
1989,0.458,0.348,-9.006,0.0279,0.69,5.09e-06,0.102,0.317,145.96
1990,0.538,0.857,-4.48,0.0333,9.71e-05,0.0,0.347,0.578,109.052
1991,0.346,0.805,-3.963,0.0439,0.0158,0.0,0.301,0.397,86.103
1992,0.48,0.893,-4.376,0.0624,0.000999,0.0,0.379,0.527,123.947
1993,0.439,0.945,-3.814,0.0577,0.000114,0.0,0.113,0.195,124.072
1994,0.387,0.41,-9.271,0.0289,0.155,0.0,0.102,0.253,147.769
1995,0.405,0.915,-3.874,0.0855,0.00019,0.0,0.308,0.408,133.972
1996,0.494,0.829,-4.391,0.039,0.0194,0.0,0.113,0.392,126.889
1997,0.479,0.839,-5.863,0.0443,8.59e-06,0.000226,0.104,0.269,113.958
1998,0.383,0.431,-6.652,0.0328,0.0613,0.0,0.0911,0.168,110.097
1999,0.402,0.922,-4.259,0.057,5.05e-05,2.23e-05,0.239,0.373,133.951
2000,0.257,0.809,-4.717,0.0387,0.00703,0.00116,0.199,0.16,99.847
2001,0.458,0.348,-9.006,0.0279,0.69,5.09e-06,0.102,0.317,145.96
2002,0.501,0.847,-4.222,0.0418,0.00125,0.0,0.0879,0.719,125.965
2003,0.44,0.732,-5.756,0.0361,0.00143,1.55e-05,0.0879,0.126,121.997
2004,0.572,0.668,-5.508,0.0379,0.00388,7.13e-06,0.107,0.333,120.895
2005,0.467,0.799,-5.301,0.0444,0.00405,0.0,0.128,0.158,129.882
2006,0.542,0.819,-4.802,0.0395,0.000246,0.000123,0.0672,0.207,107.978
2007,0.43,0.794,-3.862,0.0425,0.000182,9.88e-05,0.336,0.471,144.04
2008,0.302,0.564,-6.224,0.031,0.0152,0.0,0.201,0.211,79.324
2009,0.528,0.808,-4.92,0.0399,0.0229,3.57e-06,0.0615,0.345,121.945
2010,0.47,0.838,-5.313,0.044,0.000193,0.0,0.0788,0.217,140.99
2011,0.553,0.675,-5.836,0.0314,0.00504,0.0,0.111,0.149,110.95
2012,0.544,0.934,-4.793,0.0486,0.00219,1.48e-06,0.248,0.133,114.02
2013,0.481,0.605,-6.744,0.0285,0.000162,0.0,0.121,0.175,110.052
2014,0.567,0.913,-6.062,0.0657,0.000917,0.0,0.159,0.805,125.935
2015,0.5,0.847,-4.222,0.0417,0.00125,0.0,0.0875,0.716,125.964
2016,0.438,0.734,-5.771,0.0361,0.0014,1.65e-05,0.0805,0.134,121.994
2017,0.573,0.666,-5.512,0.0377,0.00418,6.36e-06,0.107,0.32,120.895
2018,0.47,0.797,-5.313,0.0442,0.00403,0.0,0.128,0.157,129.823
2019,0.543,0.818,-4.81,0.0395,0.00026,0.000109,0.0671,0.21,107.975
2020,0.43,0.795,-3.863,0.0425,0.000182,0.000101,0.338,0.473,144.043
2021,0.296,0.572,-6.224,0.0314,0.0153,0.0,0.201,0.212,79.433
2022,0.528,0.808,-4.92,0.0397,0.0231,3.44e-06,0.0614,0.344,121.957
