,title,artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
15693,Bésame,Gloria Estefan,0.744,0.589,-4.936,0.0333,0.765,0.0,0.238,0.843,139.918
15694,Refranes,Gloria Estefan,0.777,0.846,-3.816,0.0423,0.681,0.0,0.311,0.968,99.973
15695,A Bailar,Gloria Estefan,0.758,0.827,-4.116,0.0462,0.478,0.0,0.192,0.964,100.024
15696,Esta Fiesta No Va Acabar,Gloria Estefan,0.801,0.943,-4.559,0.181,0.194,0.0,0.106,0.885,119.981
15697,Volveré,Gloria Estefan,0.63,0.687,-6.263,0.0421,0.333,0.0,0.411,0.925,82.51
15698,Esperando (Cuando Cuba Sea Libre),Gloria Estefan,0.759,0.646,-4.7,0.031,0.432,0.0,0.233,0.807,110.024
15699,Morenita,Gloria Estefan,0.429,0.823,-4.323,0.18,0.0523,0.0,0.147,0.941,86.43
15700,90 Millas,Gloria Estefan,0.449,0.867,-3.795,0.0835,0.371,0.0,0.241,0.798,128.154
15701,A Little Push,Gloria Estefan,0.49,0.638,-8.354,0.0313,0.194,0.0,0.154,0.296,159.96
15702,Te Amare,Gloria Estefan,0.516,0.826,-7.741,0.0599,0.0436,0.0,0.422,0.728,180.271
15703,Your Picture,Gloria Estefan,0.6,0.475,-8.212,0.0398,0.486,0.0,0.158,0.443,139.969
15704,Wrapped,Gloria Estefan,0.356,0.63,-7.774,0.062,0.391,0.0,0.11,0.504,93.331
15705,Time Waits,Gloria Estefan,0.511,0.834,-6.808,0.0329,0.171,1.04e-05,0.154,0.641,143.956
15706,In The Meantime,Gloria Estefan,0.534,0.29,-11.312,0.035,0.76,0.0,0.131,0.369,124.838
15707,Dangerous Game,Gloria Estefan,0.345,0.549,-9.064,0.047,0.564,0.0,0.141,0.435,92.42
15708,Into You,Gloria Estefan,0.5,0.789,-4.769,0.0459,0.0995,0.0,0.449,0.691,167.968
15709,One Name,Gloria Estefan,0.614,0.751,-7.323,0.0711,0.0236,0.0,0.19,0.542,105.038
15710,I Will Always Need Your Love,Gloria Estefan,0.62,0.854,-6.876,0.0383,0.0447,0.0,0.0958,0.688,92.04
15711,Say Goodbye,Gloria Estefan,0.419,0.447,-8.172,0.0284,0.386,0.0,0.115,0.144,139.717
15712,I Wish You,Gloria Estefan,0.425,0.675,-6.059,0.0333,0.0528,0.0,0.102,0.299,155.829
15713,You,Gloria Estefan,0.674,0.772,-6.256,0.0998,0.109,0.0,0.0676,0.651,99.985
15714,Famous,Gloria Estefan,0.396,0.358,-10.386,0.035,0.467,0.0,0.225,0.276,78.095
15715,Tu Fotografia,Gloria Estefan,0.496,0.636,-8.374,0.0312,0.187,0.0,0.145,0.283,159.964
15716,Te Amare - Spanish Album Version,Gloria Estefan,0.615,0.829,-7.761,0.0528,0.0371,0.0,0.451,0.726,90.058
15717,Mientras Tanto - Spanish Album Version,Gloria Estefan,0.607,0.475,-8.212,0.0407,0.475,0.0,0.134,0.444,139.885
15718,Hoy - Spanish Version,Gloria Estefan,0.589,0.634,-7.81,0.0474,0.379,0.0,0.112,0.494,97.978
15719,A Little Push,Gloria Estefan,0.499,0.843,-6.784,0.0331,0.179,4.75e-06,0.159,0.722,144.009
15720,Time Waits,Gloria Estefan,0.533,0.288,-11.257,0.0348,0.752,0.0,0.131,0.379,125.199
15721,Dangerous Game,Gloria Estefan,0.427,0.556,-9.088,0.0444,0.576,0.0,0.131,0.423,167.984
15722,Into You,Gloria Estefan,0.51,0.784,-4.888,0.045,0.116,0.0,0.444,0.729,167.936
15723,One Name,Gloria Estefan,0.628,0.758,-7.252,0.059,0.0181,0.0,0.196,0.521,105.118
15724,I Will Always Need Your Love,Gloria Estefan,0.622,0.848,-6.855,0.0377,0.0412,0.0,0.0841,0.689,92.042
15725,Say Goodbye,Gloria Estefan,0.415,0.432,-8.121,0.028,0.359,0.0,0.111,0.176,139.305
15726,I Wish You,Gloria Estefan,0.421,0.682,-6.069,0.0371,0.0546,0.0,0.102,0.267,155.842
15727,You,Gloria Estefan,0.675,0.777,-6.269,0.11,0.115,0.0,0.0693,0.601,99.979
15728,Famous,Gloria Estefan,0.284,0.351,-10.315,0.0421,0.472,0.0,0.222,0.316,154.389
15729,Te Amare,Gloria Estefan,0.612,0.852,-7.284,0.0522,0.0422,0.0,0.348,0.783,90.079
15730,Your Picture,Gloria Estefan,0.578,0.497,-8.082,0.0407,0.55,0.0,0.204,0.515,139.687
15731,Wrapped,Gloria Estefan,0.374,0.65,-7.639,0.0516,0.514,0.0,0.116,0.663,91.948
15732,In The Meantime,Gloria Estefan,0.537,0.299,-9.457,0.0423,0.819,0.0,0.114,0.315,124.622
15733,A Little Push,Gloria Estefan,0.496,0.636,-8.374,0.0312,0.187,0.0,0.145,0.283,159.964
15734,Te Amare,Gloria Estefan,0.615,0.829,-7.761,0.0528,0.0371,0.0,0.451,0.726,90.058
15735,Your Picture,Gloria Estefan,0.607,0.475,-8.212,0.0407,0.475,0.0,0.134,0.444,139.885
15736,Wrapped,Gloria Estefan,0.589,0.634,-7.81,0.0474,0.379,0.0,0.112,0.494,97.978
15737,Time Waits,Gloria Estefan,0.499,0.843,-6.784,0.0331,0.179,4.75e-06,0.159,0.722,144.009
15738,In The Meantime,Gloria Estefan,0.533,0.288,-11.257,0.0348,0.752,0.0,0.131,0.379,125.199
15739,Dangerous Game,Gloria Estefan,0.427,0.556,-9.088,0.0444,0.576,0.0,0.131,0.423,167.984
15740,Into You,Gloria Estefan,0.51,0.784,-4.888,0.045,0.116,0.0,0.444,0.729,167.936
15741,One Name,Gloria Estefan,0.628,0.758,-7.252,0.059,0.0181,0.0,0.196,0.521,105.118
15742,I Will Always Need Your Love,Gloria Estefan,0.622,0.848,-6.855,0.0377,0.0412,0.0,0.0841,0.689,92.042
15743,Say Goodbye,Gloria Estefan,0.415,0.432,-8.121,0.028,0.359,0.0,0.111,0.176,139.305
15744,I Wish You,Gloria Estefan,0.421,0.682,-6.069,0.0371,0.0546,0.0,0.102,0.267,155.842
15745,You,Gloria Estefan,0.675,0.777,-6.269,0.11,0.115,0.0,0.0693,0.601,99.979
15746,Famous,Gloria Estefan,0.284,0.351,-10.315,0.0421,0.472,0.0,0.222,0.316,154.389
15747,Te Amare - Spanish Album Version,Gloria Estefan,0.612,0.852,-7.284,0.0522,0.0422,0.0,0.348,0.783,90.079
15748,Tu Fotografia,Gloria Estefan,0.578,0.497,-8.082,0.0407,0.55,0.0,0.204,0.515,139.687
15749,Hoy - Spanish Version,Gloria Estefan,0.374,0.65,-7.639,0.0516,0.514,0.0,0.116,0.663,91.948
15750,Mientras Tanto - Spanish Album Version,Gloria Estefan,0.537,0.299,-9.457,0.0423,0.819,0.0,0.114,0.315,124.622
